ID,Prob1
0, 0.87
1, 0.72
2, 0.38
3, 0.00
4, 0.15
5, 0.14
6, 0.24
7, 0.20
8, 0.03
9, 0.14
10, 0.43
11, 0.11
12, 0.54
13, 0.35
14, 0.15
15, 0.41
16, 0.12
17, 0.80
18, 0.05
19, 0.24
20, 0.29
21, 0.34
22, 0.29
23, 0.30
24, 0.15
25, 0.37
26, 0.48
27, 0.17
28, 0.19
29, 0.29
30, 0.41
31, 0.29
32, 0.42
33, 0.20
34, 0.40
35, 0.34
36, 0.24
37, 0.07
38, 0.44
39, 0.26
40, 0.10
41, 0.62
42, 0.17
43, 0.08
44, 0.40
45, 0.15
46, 0.49
47, 0.38
48, 0.77
49, 0.41
50, 0.36
51, 0.23
52, 0.83
53, 0.05
54, 0.15
55, 0.16
56, 0.18
57, 0.30
58, 0.41
59, 0.13
60, 0.09
61, 0.16
62, 0.39
63, 0.62
64, 0.14
65, 0.07
66, 0.37
67, 0.43
68, 0.13
69, 0.57
70, 0.03
71, 0.14
72, 0.23
73, 0.51
74, 0.79
75, 0.34
76, 0.29
77, 0.24
78, 0.38
79, 0.05
80, 0.08
81, 0.74
82, 0.26
83, 0.33
84, 0.40
85, 0.49
86, 0.70
87, 0.58
88, 0.24
89, 0.19
90, 0.20
91, 0.13
92, 0.74
93, 0.79
94, 0.43
95, 0.25
96, 0.03
97, 0.31
98, 0.70
99, 0.07
100, 0.36
101, 0.82
102, 0.14
103, 0.78
104, 0.08
105, 0.40
106, 0.42
107, 0.82
108, 0.23
109, 0.48
110, 0.06
111, 0.54
112, 0.94
113, 0.15
114, 0.29
115, 0.19
116, 0.12
117, 0.36
118, 0.21
119, 0.14
120, 0.29
121, 0.68
122, 0.12
123, 0.46
124, 0.01
125, 0.64
126, 0.38
127, 0.57
128, 0.83
129, 0.69
130, 0.02
131, 0.04
132, 0.45
133, 0.67
134, 0.63
135, 0.83
136, 0.15
137, 0.93
138, 0.01
139, 0.55
140, 0.25
141, 0.14
142, 0.84
143, 0.07
144, 0.62
145, 0.26
146, 0.66
147, 0.38
148, 0.08
149, 0.08
150, 0.51
151, 0.81
152, 0.17
153, 0.48
154, 0.35
155, 0.08
156, 0.31
157, 0.27
158, 0.54
159, 0.72
160, 0.72
161, 0.33
162, 0.24
163, 0.29
164, 0.82
165, 0.15
166, 0.16
167, 0.60
168, 0.36
169, 0.11
170, 0.58
171, 0.44
172, 0.16
173, 0.23
174, 0.39
175, 0.31
176, 0.65
177, 0.12
178, 0.32
179, 0.39
180, 0.74
181, 0.02
182, 0.08
183, 0.32
184, 0.14
185, 0.25
186, 0.57
187, 0.15
188, 0.58
189, 0.14
190, 0.09
191, 0.57
192, 0.46
193, 0.41
194, 0.30
195, 0.61
